#{"t_start": 1765325655.7412353, "env_id": "Chess-v0"}
r,l,t
-1.0,21,6272.166994
-1.0,36,6286.881
-1.0,19,6295.599996
-1.0,4,6297.460845
-1.0,10,6301.956947
-1.0,16,6309.22903
-1.0,12,6315.056188
-1.0,31,6328.678929
-1.0,17,6337.261243
-1.0,25,6348.622171
-1.0,20,6357.53061
-1.0,21,6366.646625
-1.0,15,6373.836995
-1.0,23,6383.276666
-1.0,8,6386.707921
-1.0,23,6396.693235
-1.0,31,6410.685411
-1.0,31,6424.622263
-1.0,13,6430.761087
-1.0,12,6436.066753
-1.0,19,6444.8099
-1.0,3,6446.193993
-1.0,10,6451.298875
-1.0,17,6458.861682
-1.0,15,6465.861101
-1.0,36,6480.912801
-1.0,10,6485.876547
-1.0,44,6504.222134
-1.0,14,6510.850287
-1.0,15,6518.140584
-1.0,21,6527.755362
-1.0,23,6536.831004
-1.0,32,6549.897669
-1.0,6,6552.711733
-1.0,32,6565.68409
-1.0,25,6576.665582
-1.0,15,6582.88163
-1.0,32,6596.222203
-1.0,31,6609.398003
-1.0,11,6614.018442
-1.0,25,6624.950335
-1.0,22,6634.617574
-1.0,16,6641.668063
-1.0,9,6645.786193
-1.0,19,6654.420522
-1.0,18,6662.32827
-1.0,15,6668.757688
-1.0,36,6682.454953
-1.0,20,6691.198577
-1.0,5,6693.511988
-1.0,28,6705.788773
-1.0,34,6720.152522
-1.0,46,6738.501695
-1.0,28,6751.183865
-1.0,45,6769.87756
-1.0,26,6780.628745
-1.0,24,6791.341803
-1.0,44,6808.585844
-1.0,21,6817.483719
-1.0,23,6827.597466
-1.0,20,6836.266475
-1.0,11,6840.607759
-1.0,18,6849.133507
-1.0,22,6859.313741
-1.0,26,6870.941716
-1.0,26,6882.612924
-1.0,51,6902.881136
-1.0,23,6912.540069
-1.0,29,6923.391721
-1.0,23,6932.634496
-1.0,30,6945.55003
-1.0,21,6953.895542
-1.0,31,6969.259245
-1.0,17,6977.019328
-1.0,37,6992.25288
-1.0,35,7007.672662
-1.0,36,7022.109687
-1.0,24,7033.654438
-1.0,22,7043.394795
-1.0,22,7052.972652
-1.0,8,7056.804611
-1.0,19,7065.764618
-1.0,20,7075.317298
-1.0,25,7087.175082
-1.0,11,7092.037062
-1.0,23,7103.75457
-1.0,19,7112.435048
-1.0,12,7118.030411
-1.0,19,7126.492767
-1.0,45,7144.28759
-1.0,40,7161.211006
-1.0,19,7169.450013
-1.0,25,7180.614665
-1.0,18,7188.37682
-1.0,16,7195.646584
-1.0,38,7211.41379
-1.0,19,7219.547788
-1.0,23,7229.820992
-1.0,16,7236.644576
-1.0,14,7243.017054
-1.0,5,7245.474791
-1.0,16,7252.207565
-1.0,17,7259.332423
-1.0,20,7267.568391
-1.0,23,7277.616879
-1.0,29,7290.056718
-1.0,12,7295.681041
-1.0,36,7311.235879
-1.0,37,7327.416779
-1.0,11,7333.000468
-1.0,22,7343.023865
-1.0,20,7351.32533
-1.0,30,7364.757137
-1.0,17,7373.062746
-1.0,40,7389.924372
-1.0,15,7396.795559
-1.0,22,7406.487054
-1.0,20,7415.031761
-1.0,15,7421.69666
-1.0,33,7436.472578
-1.0,21,7445.425731
-1.0,21,7455.537137
-1.0,26,7467.029432
-1.0,24,7477.34589
-1.0,22,7486.922905
-1.0,14,7492.550826
-1.0,29,7505.578353
-1.0,30,7518.094557
-1.0,43,7535.62605
-1.0,11,7540.391756
-1.0,18,7548.032731
-1.0,11,7552.992878
-1.0,19,7561.341342
-1.0,16,7568.031647
-1.0,20,7577.377905
-1.0,61,7601.351574
-1.0,11,7605.96172
-1.0,22,7616.129762
-1.0,21,7625.51104
-1.0,3,7626.918667
-1.0,25,7637.878839
-1.0,38,7654.002634
-1.0,22,7663.300947
-1.0,21,7672.697798
-1.0,14,7678.988107
-1.0,33,7693.537261
-1.0,6,7696.242644
-1.0,23,7706.685685
-1.0,20,7715.874769
-1.0,22,7725.622731
-1.0,9,7729.483075
-1.0,13,7735.116534
-1.0,41,7753.683631
-1.0,17,7761.68565
-1.0,20,7770.850614
-1.0,17,7778.677562
-1.0,15,7785.390065
-1.0,14,7791.222079
-1.0,11,7796.233087
-1.0,13,7802.601043
-1.0,38,7819.106941
-1.0,30,7832.491774
-1.0,19,7841.872644
-1.0,13,7847.440707
-1.0,16,7855.567984
-1.0,21,7865.069838
-1.0,22,7874.257758
-1.0,46,7892.946594
-1.0,25,7902.814117
-1.0,24,7912.777771
-1.0,27,7924.401342
-1.0,34,7939.617172
-1.0,9,7944.171618
-1.0,13,7950.01193
-1.0,50,7970.505084
-1.0,18,7978.480679
-1.0,26,7990.109823
-1.0,28,8004.075573
-1.0,21,8013.575717
-1.0,34,8028.72015
-1.0,22,8039.162939
-1.0,4,8041.136889
-1.0,13,8047.064854
-1.0,17,8054.38965
-1.0,22,8064.677144
-1.0,13,8070.251693
-1.0,15,8077.10306
-1.0,20,8086.060446
-1.0,28,8097.924693
-1.0,32,8111.316453
-1.0,29,8124.38752
-1.0,19,8132.68655
-1.0,28,8145.111528
-1.0,27,8157.699483
-1.0,12,8163.782525
-1.0,30,8176.453718
-1.0,19,8185.239997
-1.0,11,8190.3047
-1.0,21,8199.039439
-1.0,21,8208.899509
-1.0,17,8215.828738
-1.0,36,8230.429876
-1.0,11,8235.24197
-1.0,22,8245.084745
-1.0,18,8253.108449
-1.0,21,8262.215628
-1.0,29,8274.290286
-1.0,9,8278.706286
-1.0,22,8288.377037
-1.0,26,8298.784822
-1.0,25,8309.614469
-1.0,15,8316.275156
-1.0,26,8327.94427
-1.0,29,8340.175771
-1.0,28,8351.991618
-1.0,34,8366.291929
-1.0,9,8370.640771
-1.0,13,8377.259313
-1.0,31,8391.051543
-1.0,28,8404.03618
-1.0,28,8416.201596
-1.0,23,8426.211684
-1.0,18,8434.843672
-1.0,13,8440.83058
-1.0,30,8453.370372
-1.0,20,8461.850106
-1.0,43,8480.534785
-1.0,32,8493.680264
-1.0,31,8506.13566
-1.0,5,8508.524097
-1.0,11,8513.586055
-1.0,6,8516.480579
-1.0,17,8524.2885
-1.0,27,8535.896753
-1.0,25,8547.16912
-1.0,17,8555.102699
-1.0,18,8562.983104
-1.0,20,8571.769156
-1.0,18,8579.203067
-1.0,20,8588.245422
-1.0,38,8603.156384
-1.0,18,8610.574873
-1.0,34,8625.237479
-1.0,15,8631.643946
-1.0,14,8638.247557
-1.0,24,8648.550198
-1.0,29,8661.982677
-1.0,22,8672.136639
-1.0,15,8679.107076
-1.0,26,8690.126019
-1.0,11,8695.252758
-1.0,21,8704.731826
-1.0,10,8709.596628
-1.0,14,8715.912076
-1.0,10,8720.651059
-1.0,11,8725.680694
-1.0,47,8743.05139
-1.0,15,8750.129187
-1.0,35,8765.084807
-1.0,22,8774.205406
-1.0,12,8779.012643
-1.0,20,8787.32921
-1.0,31,8799.787141
-1.0,24,8809.565998
-1.0,20,8817.871331
1.0,77,8847.019288
-1.0,5,8849.419482
-1.0,27,8860.693693
-1.0,30,8873.169822
-1.0,41,8891.505933
-1.0,12,8896.852994
-1.0,23,8906.956692
-1.0,32,8920.76035
-1.0,29,8933.37785
-1.0,24,8943.785475
-1.0,18,8951.922311
-1.0,13,8958.392691
-1.0,21,8968.031344
-1.0,16,8975.439187
-1.0,14,8982.090431
-1.0,25,8993.526173
-1.0,13,8999.404934
-1.0,18,9008.123586
-1.0,24,9018.827831
-1.0,28,9030.691669
-1.0,11,9036.058071
-1.0,26,9046.598751
-1.0,33,9059.84563
-1.0,16,9067.487538
-1.0,10,9071.669107
-1.0,17,9079.035467
-1.0,28,9091.456673
-1.0,30,9104.508875
-1.0,19,9113.202104
-1.0,9,9117.601153
-1.0,20,9127.168688
-1.0,13,9133.146856
-1.0,19,9142.220935
-1.0,21,9150.860649
-1.0,22,9160.50984
-1.0,7,9163.832884
-1.0,14,9170.057492
-1.0,20,9179.462258
-1.0,20,9188.672868
-1.0,15,9195.480448
-1.0,21,9204.854601
-1.0,7,9208.212796
-1.0,18,9216.649358
-1.0,17,9225.016684
-1.0,26,9236.518624
-1.0,27,9248.787137
-1.0,20,9257.27334
-1.0,10,9261.839749
-1.0,33,9277.276332
-1.0,21,9286.812102
-1.0,22,9296.484586
-1.0,19,9304.533448
-1.0,18,9312.105827
-1.0,25,9322.923639
-1.0,23,9332.597096
-1.0,15,9340.036083
-1.0,11,9344.984792
-1.0,24,9354.503635
-1.0,16,9361.749663
-1.0,34,9377.047619
-1.0,17,9384.548822
-1.0,17,9392.394578
-1.0,23,9402.193094
-1.0,12,9407.18773
-1.0,22,9416.95587
-1.0,40,9433.406791
-1.0,23,9443.522747
-1.0,25,9453.713913
-1.0,32,9466.295629
-1.0,19,9474.285837
-1.0,17,9481.177638
-1.0,35,9495.767626
-1.0,32,9508.147625
-1.0,18,9515.734359
-1.0,17,9523.709138
-1.0,32,9536.138528
-1.0,19,9544.492692
-1.0,27,9555.276913
-1.0,3,9556.500917
-1.0,21,9564.957291
-1.0,22,9574.579191
-1.0,17,9581.921613
-1.0,22,9591.353013
-1.0,19,9599.207913
-1.0,35,9614.286932
-1.0,16,9621.076584
-1.0,22,9630.13867
-1.0,21,9638.588492
-1.0,27,9649.299207
-1.0,15,9655.769311
-1.0,13,9661.432707
-1.0,16,9668.125783
-1.0,18,9675.340904
-1.0,17,9682.539547
-1.0,21,9691.68492
-1.0,20,9700.08055
-1.0,11,9704.68906
-1.0,19,9712.843522
-1.0,24,9722.47988
-1.0,25,9732.904803
-1.0,25,9742.662722
-1.0,20,9751.09682
-1.0,16,9758.014933
-1.0,27,9769.438467
-1.0,15,9777.472641
